"elementId","source","line","surface","kind","label","ownerComponent","effectiveHandlerEvent","actionType","mappingStatus","mappingConfidence","handlerChain","delegatedCallbacks","usedBySurfaces","routeTargets","apiCalls","resourceOperations","contextResources","prismaModels","contextModels","permissionPolicies","allowedRoles","rowPolicy","scopedRead","loadingState","successState","errorState","confirmationState","browserActions","helperCalls","localMutations","uxStateCandidates"
"route.import.form-control.textarea","app/(app)/import/page.jsx","121","route.import","form-control","","ImportPage","onChange","form-control","classified-local","high","onText","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.import.action.nhan-lai-cot","app/(app)/import/page.jsx","125","route.import","action","Nhận lại cột","ImportPage","onClick","local-state","classified-local","high","autoMap | norm","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","m[f.key]",""
"route.import.form-control.bo-qua","app/(app)/import/page.jsx","138","route.import","form-control","— bỏ qua —","ImportPage","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.import.action.nhap-dong-hop-le","app/(app)/import/page.jsx","152","route.import","action","Nhập / dòng hợp lệ","ImportPage","onClick","data-action","handler-resolved","high","doImport","","","","POST /api/import/bulk","","","AuditLog | Setting","","registry-rbac","","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.install.action.iphone-ipad","app/(app)/install/page.jsx","183","route.install","action","iPhone / iPad","InstallPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.install.action.android","app/(app)/install/page.jsx","184","route.install","action","Android","InstallPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.inventory.action.nhap-kho-lo-moi","app/(app)/inventory/page.jsx","87","route.inventory","action","Nhập kho lô mới","InventoryPage","onClick","local-state","classified-local","high","","","","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.inventory.action.lbl","app/(app)/inventory/page.jsx","100","route.inventory","action","{lbl}","InventoryPage","onClick","local-state","classified-local","high","","","","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.inventory.action.e-e-stoppropagation","app/(app)/inventory/page.jsx","110","route.inventory","action","","InventoryPage","onClick","local-state","classified-local","high","","","","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","event.stopPropagation",""
"route.inventory.action.xuat-kho","app/(app)/inventory/page.jsx","111","route.inventory","action","Xuất kho","InventoryPage","onClick","local-state","classified-local","high","","","","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.inventory.action.sua","app/(app)/inventory/page.jsx","112","route.inventory","action","Sửa","InventoryPage","onClick","local-state","classified-local","high","","","","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.inventory.action.xoa","app/(app)/inventory/page.jsx","113","route.inventory","action","Xóa","InventoryPage","onClick","local-state","classified-local","high","","","","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.inventory.action.ong","app/(app)/inventory/page.jsx","150","route.inventory","action","Đóng","LotDetail","onClick","delegated-action","delegated","high","","onClose","route:/inventory","","","","growingareas | shipments | stocklots | stockmoves | vendors","","GrowingArea | Shipment | StockLot | StockMove | Vendor","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.huy","app/(app)/invoices/page.jsx","26","route.invoices","action","Hủy","PayModal","onClick","delegated-action","delegated","high","","onClose","route:/invoices","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.ghi-nhan","app/(app)/invoices/page.jsx","27","route.invoices","action","Ghi nhận","PayModal","onClick","data-action","handler-resolved","high","submit","onClose | onDone","route:/invoices","","POST /api/invoices/from-hours","","clients | invoices | projects | services","AuditLog | Invoice | Project | Setting | TimeLog","Client | Invoice | Project | Service","explicit-rbac","ACCOUNTANT | AM","false","false","local-state","toast-or-state","handled-candidate","not-required","","","",""
"route.invoices.form-control.input","app/(app)/invoices/page.jsx","35","route.invoices","form-control","","PayModal","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.form-control.input.2","app/(app)/invoices/page.jsx","37","route.invoices","form-control","","PayModal","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.form-control.vd-chuyen-khoan-ot-1","app/(app)/invoices/page.jsx","38","route.invoices","form-control","VD: chuyển khoản đợt 1","PayModal","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.huy.2","app/(app)/invoices/page.jsx","77","route.invoices","action","Hủy","FromHoursModal","onClick","delegated-action","delegated","high","","onClose","route:/invoices","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.ang-tao-tao-hoa-on-nhap","app/(app)/invoices/page.jsx","78","route.invoices","action","Đang tạo… / Tạo hóa đơn nháp","FromHoursModal","onClick","data-action","handler-resolved","high","submit","onClose | onDone","route:/invoices","","POST /api/invoices/from-hours","","clients | invoices | projects | services","AuditLog | Invoice | Project | Setting | TimeLog","Client | Invoice | Project | Service","explicit-rbac","ACCOUNTANT | AM","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.invoices.form-control.select","app/(app)/invoices/page.jsx","82","route.invoices","form-control","","FromHoursModal","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.form-control.vd-300000","app/(app)/invoices/page.jsx","86","route.invoices","form-control","VD: 300000","FromHoursModal","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.form-control.input.3","app/(app)/invoices/page.jsx","89","route.invoices","form-control","","FromHoursModal","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.form-control.tat-ca-trang-thai-nhap-a-gui-qua-han-a-thu","app/(app)/invoices/page.jsx","155","route.invoices","form-control","Tất cả trạng thái / Nháp / Đã gửi / Quá hạn / Đã thu","InvoicesPage","onChange","form-control","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.xuat-tu-gio-cong","app/(app)/invoices/page.jsx","168","route.invoices","action","Xuất từ giờ công","InvoicesPage","onClick","local-state","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.tao-hoa-on","app/(app)/invoices/page.jsx","172","route.invoices","action","Tạo hóa đơn","InvoicesPage","onClick","local-state","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.ghi-nhan-thanh-toan","app/(app)/invoices/page.jsx","192","route.invoices","action","Ghi nhận thanh toán","InvoicesPage","onClick","local-state","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.sinh-hoa-on-ky-toi-thang-sau","app/(app)/invoices/page.jsx","195","route.invoices","action","Sinh hóa đơn kỳ tới (tháng sau)","InvoicesPage","onClick","data-action","handler-resolved","high","nextPeriod","","","","POST /api/data/invoices","create:invoices","clients | invoices | projects | services","Approval | AuditLog | Conversation | Invoice | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Team | Transaction | User | VendorBill | Webhook","Client | Invoice | Project | Service","registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","false","async-button-guard","hook-refresh","hook-error-toast","not-required","","import:nextCode","",""
"route.invoices.action.gui-email-cho-khach","app/(app)/invoices/page.jsx","197","route.invoices","action","Gửi email cho khách","InvoicesPage","onClick","local-state","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.in-xuat-pdf","app/(app)/invoices/page.jsx","199","route.invoices","action","In / xuất PDF","InvoicesPage","onClick","helper-action","classified-local","high","client","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","import:printDoc","",""
"route.invoices.action.sua","app/(app)/invoices/page.jsx","200","route.invoices","action","Sửa","InvoicesPage","onClick","local-state","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.invoices.action.xoa","app/(app)/invoices/page.jsx","201","route.invoices","action","Xóa","InvoicesPage","onClick","local-state","classified-local","high","","","","","","","clients | invoices | projects | services","","Client | Invoice | Project | Service","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.them-khach-tiem-nang","app/(app)/leads/page.jsx","145","route.leads","action","Thêm khách tiềm năng","LeadsPage","onClick","local-state","classified-local","high","","","","","","","clients | leads | users","","Client | Lead | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.thu-lai","app/(app)/leads/page.jsx","185","route.leads","action","Thử lại","LeadsPage","onClick","data-action","handler-resolved","high","loadWorkload","","","","GET /api/leads/workload","","clients | leads | users","Activity | Lead | Setting | User","Client | Lead | User","explicit-rbac","ACCOUNTANT | AM | PM | STAFF","false","false","not-required","not-required","handled-candidate","not-required","","","",""
"route.leads.action.review-lead","app/(app)/leads/page.jsx","207","route.leads","action","Review Lead","LeadsPage","onClick","local-state","classified-local","high","","","","","","","clients | leads | users","","Client | Lead | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.nhat-ky-follow-up","app/(app)/leads/page.jsx","208","route.leads","action","Nhật ký / follow-up","LeadsPage","onClick","local-state","classified-local","high","","","","","","","clients | leads | users","","Client | Lead | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.button","app/(app)/leads/page.jsx","272","route.leads","action","·","LeadsPage","onClick","local-state","classified-local","high","","","","","","","clients | leads | users","","Client | Lead | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.xoa","app/(app)/leads/page.jsx","301","route.leads","action","Xóa","LeadsPage","onClick","local-state","classified-local","high","","","","","","","clients | leads | users","","Client | Lead | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.nhat-ky-hen","app/(app)/leads/page.jsx","303","route.leads","action","Nhật ký & hẹn","LeadsPage","onClick","local-state","classified-local","high","","","","","","","clients | leads | users","","Client | Lead | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.leads.action.chuyen-thanh-khach-hang","app/(app)/leads/page.jsx","304","route.leads","action","Chuyển thành khách hàng","LeadsPage","onClick","data-action","handler-resolved","high","convertToClient","","","","POST /api/data/clients","create:clients","clients | leads | users","Approval | AuditLog | Client | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Team | Transaction | User | VendorBill | Webhook","Client | Lead | User","registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","false","async-button-guard","hook-refresh","hook-error-toast","not-required","","import:todayISO","",""
"route.live.action.ca-live-moi","app/(app)/live/page.jsx","101","route.live","action","Ca live mới","LivePage","onClick","local-state","classified-local","high","","","","","","","clients | livesessions | users","","Client | LiveSession | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.live.action.oi-soat","app/(app)/live/page.jsx","123","route.live","action","Đối soát","LivePage","onClick","local-state","classified-local","high","","","","","","","clients | livesessions | users","","Client | LiveSession | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.live.action.ghi-nhan-tien-san-ve-phieu-thu","app/(app)/live/page.jsx","124","route.live","action","Ghi nhận tiền sàn về → phiếu thu","LivePage","onClick","local-state","classified-local","high","","","","","","","clients | livesessions | users","","Client | LiveSession | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.live.action.sua","app/(app)/live/page.jsx","126","route.live","action","Sửa","LivePage","onClick","local-state","classified-local","high","","","","","","","clients | livesessions | users","","Client | LiveSession | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.live.action.xoa","app/(app)/live/page.jsx","127","route.live","action","Xóa","LivePage","onClick","local-state","classified-local","high","","","","","","","clients | livesessions | users","","Client | LiveSession | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.markets.form-control.select","app/(app)/markets/page.jsx","26","route.markets","form-control","","MarketsPage","onChange","form-control","classified-local","high","","","","","","","shipments","","Shipment","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.markets.form-control.select.2","app/(app)/markets/page.jsx","27","route.markets","form-control","","MarketsPage","onChange","form-control","classified-local","high","","","","","","","shipments","","Shipment","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.huy","app/(app)/messages/page.jsx","31","route.messages","action","Hủy","NewChatModal","onClick","delegated-action","delegated","high","","onClose","route:/messages","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.bat-au","app/(app)/messages/page.jsx","32","route.messages","action","Bắt đầu","NewChatModal","onClick","data-action","delegated-resolved","medium","create | loadList","onClose | onCreated","route:/messages","","GET /api/chat | POST /api/chat","","","ConvMember | Conversation | Message | RealmChangeEvent | User","","authenticated-custom","","false","false","async-button-guard","toast-or-state","handled-candidate","not-required","","","",""
"route.messages.action.nhan-rieng","app/(app)/messages/page.jsx","34","route.messages","action","Nhắn riêng","NewChatModal","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.tao-nhom","app/(app)/messages/page.jsx","35","route.messages","action","Tạo nhóm","NewChatModal","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.form-control.vd-team-du-an-lumia","app/(app)/messages/page.jsx","38","route.messages","form-control","VD: Team dự án Lumia","NewChatModal","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.form-control.who","app/(app)/messages/page.jsx","42","route.messages","form-control","who","NewChatModal","onChange","form-control","classified-local","high","toggle","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.ngung-chia-se-voi-ceo-portal-chia-se-voi-ceo-portal","app/(app)/messages/page.jsx","165","route.messages","action","Ngừng chia sẻ với CEO Portal / Chia sẻ với CEO Portal","MessagesPage","onClick","data-action","handler-resolved","high","toggleDirectoryShare","","","","PUT /api/ceo/v1/directory/profile","","","AuditLog | CeoEntityDirectoryProfile | User","","authenticated-custom","","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.messages.action.moi","app/(app)/messages/page.jsx","166","route.messages","action","Mới","MessagesPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.form-control.input","app/(app)/messages/page.jsx","171","route.messages","form-control","","MessagesPage","onChange","form-control","handler-resolved","high","togglePresenceShare","","","","PUT /api/ceo/v1/directory/profile","","","AuditLog | CeoEntityDirectoryProfile | User","","authenticated-custom","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.button","app/(app)/messages/page.jsx","177","route.messages","action","#","MessagesPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.button.2","app/(app)/messages/page.jsx","200","route.messages","action","←","MessagesPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.ong","app/(app)/messages/page.jsx","207","route.messages","action","Đóng","MessagesPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.form-submit.ang-gui-gui","app/(app)/messages/page.jsx","229","route.messages","form-submit","Đang gửi… / Gửi","MessagesPage","onSubmit","data-action","handler-resolved","high","loadList | send","","","","GET /api/chat | POST /api/chat/*","","","ConvMember | Conversation | Message | RealmChangeEvent | User","","authenticated-custom","","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","event.preventDefault | lastAtRef.current",""
"route.messages.form-control.input.2","app/(app)/messages/page.jsx","230","route.messages","form-control","","MessagesPage","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.messages.action.ang-gui-gui","app/(app)/messages/page.jsx","231","route.messages","action","Đang gửi… / Gửi","MessagesPage","form:onSubmit","disabled-control","handler-resolved","high","loadList | send","","","","GET /api/chat | POST /api/chat/*","","","ConvMember | Conversation | Message | RealmChangeEvent | User","","authenticated-custom","","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | lastAtRef.current",""
"route.myday.action.ua-viec-len-mot-bac","app/(app)/myday/page.jsx","95","route.myday","action","Đưa việc lên một bậc","TaskBlock","onClick","data-action","delegated-resolved","medium","act | load | reorder","onNudge","route:/myday","","GET /api/execution/my-work | POST /api/execution/actions","","","AuditLog | Conversation | Lead | Message | Notification | Onboarding | Project | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | TimeLog | User | Webhook | WorkEstimateRevision | WorkQueueState","","authenticated-custom | explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.myday.action.ua-viec-xuong-mot-bac","app/(app)/myday/page.jsx","96","route.myday","action","Đưa việc xuống một bậc","TaskBlock","onClick","data-action","delegated-resolved","medium","act | load | reorder","onNudge","route:/myday","","GET /api/execution/my-work | POST /api/execution/actions","","","AuditLog | Conversation | Lead | Message | Notification | Onboarding | Project | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | TimeLog | User | Webhook | WorkEstimateRevision | WorkQueueState","","authenticated-custom | explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.myday.navigation.mo-chi-tiet-viec","app/(app)/myday/page.jsx","99","route.myday","navigation","Mở chi tiết việc","TaskBlock","","navigation","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.action.cap-nhat-estimate","app/(app)/myday/page.jsx","106","route.myday","action","Cập nhật estimate","TaskBlock","onClick","delegated-action","delegated","high","","onEstimate","route:/myday","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.action.button","app/(app)/myday/page.jsx","108","route.myday","action","…","TaskBlock","onClick","data-action","delegated-resolved","medium","act | load | transition","onTransition","route:/myday","","GET /api/execution/my-work | POST /api/execution/actions","","","AuditLog | Conversation | Lead | Message | Notification | Onboarding | Project | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | TimeLog | User | Webhook | WorkEstimateRevision | WorkQueueState","","authenticated-custom | explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","",""
"route.myday.action.ong-form-estimate","app/(app)/myday/page.jsx","127","route.myday","action","Đóng form estimate","EstimatePanel","onClick","delegated-action","delegated","high","","onClose","route:/myday","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.form-submit.so-gio-uoc-luong-nhom-cong-viec-o-phuc-tap-ghi-chu-pham-vi-khong","app/(app)/myday/page.jsx","130","route.myday","form-submit","Số giờ ước lượng / Nhóm công việc / Độ phức tạp / Ghi chú phạm vi (không bắt buộc) / Hủy / Đang lưu… / Lưu estimate có receipt","EstimatePanel","onSubmit","data-action","delegated-resolved","medium","act | load | saveEstimate","onSave","route:/myday","","GET /api/execution/my-work | POST /api/execution/actions","","","AuditLog | Conversation | Lead | Message | Notification | Onboarding | Project | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | TimeLog | User | Webhook | WorkEstimateRevision | WorkQueueState","","authenticated-custom | explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","local-state","toast-or-state","handled-candidate","not-required","","","event.preventDefault",""
"route.myday.form-control.input","app/(app)/myday/page.jsx","134","route.myday","form-control","","EstimatePanel","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.form-control.select","app/(app)/myday/page.jsx","135","route.myday","form-control","","EstimatePanel","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.form-control.select.2","app/(app)/myday/page.jsx","136","route.myday","form-control","","EstimatePanel","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.form-control.input.2","app/(app)/myday/page.jsx","137","route.myday","form-control","","EstimatePanel","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.action.ang-luu-luu-estimate-co-receipt","app/(app)/myday/page.jsx","138","route.myday","action","Đang lưu… / Lưu estimate có receipt","EstimatePanel","form:onSubmit","disabled-control","delegated-resolved","medium","act | load | saveEstimate","onSave","route:/myday","","GET /api/execution/my-work | POST /api/execution/actions","","","AuditLog | Conversation | Lead | Message | Notification | Onboarding | Project | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | TimeLog | User | Webhook | WorkEstimateRevision | WorkQueueState","","authenticated-custom | explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault",""
"route.myday.action.huy","app/(app)/myday/page.jsx","138","route.myday","action","Hủy","EstimatePanel","onClick","delegated-action","delegated","high","","onClose","route:/myday","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.action.lam-moi","app/(app)/myday/page.jsx","297","route.myday","action","Làm mới","MyDayPage","onClick","data-action","handler-resolved","high","load","","","","GET /api/execution/my-work","","","Task | TimeLog | WorkEstimateRevision | WorkQueueState","","authenticated-custom","","false","false","not-required","not-required","handled-candidate","not-required","","","",""
"route.myday.navigation.bang-cong-viec","app/(app)/myday/page.jsx","298","route.myday","navigation","Bảng công việc","MyDayPage","","navigation","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.myday.action.ang-xep-xep-ca-bang-theo-deadline","app/(app)/myday/page.jsx","313","route.myday","action","Đang xếp… / Xếp cả bảng theo deadline","MyDayPage","onClick","data-action","handler-resolved","high","load | sortByDeadline","","","","GET /api/execution/my-work | POST /api/execution/actions","","","AuditLog | Conversation | Lead | Message | Notification | Onboarding | Project | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | TimeLog | User | Webhook | WorkEstimateRevision | WorkQueueState","","authenticated-custom | explicit-rbac","ACCOUNTANT | AM | DIRECTOR | HR | PM | STAFF","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","i | version",""
"route.myday.action.thu-lai","app/(app)/myday/page.jsx","320","route.myday","action","Thử lại","MyDayPage","onClick","data-action","handler-resolved","high","load","","","","GET /api/execution/my-work","","","Task | TimeLog | WorkEstimateRevision | WorkQueueState","","authenticated-custom","","false","false","not-required","not-required","handled-candidate","not-required","","","",""
"route.myday.navigation.mo-phe-duyet","app/(app)/myday/page.jsx","366","route.myday","navigation","Mở phê duyệt","MyDayPage","","navigation","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.okr.action.cap-nhat","app/(app)/okr/page.jsx","51","route.okr","action","Cập nhật","OkrRow","onClick","local-state","classified-local","high","","","","","","","okrs | users","","Okr | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.okr.action.xoa","app/(app)/okr/page.jsx","52","route.okr","action","Xóa","OkrRow","onClick","local-state","classified-local","high","","","","","","","okrs | users","","Okr | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.okr.form-control.select","app/(app)/okr/page.jsx","60","route.okr","form-control","","OkrPage","onChange","form-control","classified-local","high","","","","","","","okrs | users","","Okr | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.okr.action.them-okr-kpi","app/(app)/okr/page.jsx","64","route.okr","action","Thêm OKR / KPI","OkrPage","onClick","local-state","classified-local","high","","","","","","","okrs | users","","Okr | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.payroll.form-control.select","app/(app)/payroll/page.jsx","81","route.payroll","form-control","","PayrollPage","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.payroll.action.tinh-lai-tu-cham-cong","app/(app)/payroll/page.jsx","86","route.payroll","action","Tính lại từ chấm công","PayrollPage","onClick","data-action","handler-resolved","high","load | regenerate","","","","GET /api/payroll | PUT /api/payroll","","","Attendance | AuditLog | Payroll | RealmGoldEntry | Setting | User","","explicit-rbac","ACCOUNTANT | HR","false","false","async-button-guard","toast-or-state","handled-candidate","not-required","","","",""
"route.payroll.action.chot-ghi-so-quy","app/(app)/payroll/page.jsx","88","route.payroll","action","Chốt & ghi sổ quỹ","PayrollPage","onClick","local-state","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.payroll.action.tao-bang-luong-thang","app/(app)/payroll/page.jsx","89","route.payroll","action","Tạo bảng lương tháng","PayrollPage","onClick","data-action","handler-resolved","high","generate | load","","","","GET /api/payroll | POST /api/payroll","","","Attendance | AuditLog | Payroll | RealmGoldEntry | Setting | User","","explicit-rbac","ACCOUNTANT | HR","false","false","async-button-guard","toast-or-state","handled-candidate","not-required","","import:thisMonth","",""
"route.payroll.form-control.lay-tu-cham-cong-sua-uoc-neu-cham-cong-sai","app/(app)/payroll/page.jsx","120","route.payroll","form-control","Lấy từ chấm công — sửa được nếu chấm công sai","PayrollPage","","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.payroll.form-control.input","app/(app)/payroll/page.jsx","127","route.payroll","form-control","","PayrollPage","","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.payroll.form-control.input.2","app/(app)/payroll/page.jsx","132","route.payroll","form-control","","PayrollPage","","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.portfolio.navigation.danh-sach-du-an","app/(app)/portfolio/page.jsx","50","route.portfolio","navigation","Danh sách dự án","PortfolioPage","","navigation","classified-local","high","","","","","","","clients | projects | tasks | users","","Client | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
