"elementId","source","line","surface","kind","label","ownerComponent","effectiveHandlerEvent","actionType","mappingStatus","mappingConfidence","handlerChain","delegatedCallbacks","usedBySurfaces","routeTargets","apiCalls","resourceOperations","contextResources","prismaModels","contextModels","permissionPolicies","allowedRoles","rowPolicy","scopedRead","loadingState","successState","errorState","confirmationState","browserActions","helperCalls","localMutations","uxStateCandidates"
"route.attendance.form-control.ten-ngay-le-vd-quoc-khanh","app/(app)/attendance/page.jsx","163","route.attendance","form-control","Tên ngày lễ (VD: Quốc khánh)","HolidayModal","onChange","form-control","classified-local","high","","","","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.attendance.action.them","app/(app)/attendance/page.jsx","164","route.attendance","action","Thêm","HolidayModal","onClick","data-action","handler-resolved","high","","","","","POST /api/data/holidays","create:holidays","attendance | holidays | users","Approval | AuditLog | Conversation | Holiday | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Team | Transaction | User | VendorBill | Webhook","Attendance | Holiday | User","registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","false","async-button-guard","hook-refresh","hook-error-toast","not-required","","","",""
"route.attendance.action.setdeleting-h","app/(app)/attendance/page.jsx","169","route.attendance","action","","HolidayModal","onClick","local-state","classified-local","high","","","","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.attendance.action.huy","app/(app)/attendance/page.jsx","185","route.attendance","action","Hủy","OtModal","onClick","delegated-action","delegated","high","","onClose","route:/attendance","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.attendance.action.luu-ot","app/(app)/attendance/page.jsx","186","route.attendance","action","Lưu OT","OtModal","onClick","data-action","delegated-resolved","medium","","onClose | onSave","route:/attendance","","POST /api/data/attendance | PUT /api/data/attendance/[id]","create:attendance | update:attendance","attendance | holidays | users","Approval | Attendance | AuditLog | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Team | Transaction | User | VendorBill | Webhook","Attendance | Holiday | User","registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","true","false","async-button-guard","hook-refresh","hook-error-toast","not-required","","","",""
"route.attendance.form-control.chon","app/(app)/attendance/page.jsx","189","route.attendance","form-control","— Chọn —","OtModal","onChange","form-control","classified-local","high","","","","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.attendance.form-control.input.2","app/(app)/attendance/page.jsx","193","route.attendance","form-control","","OtModal","onChange","form-control","classified-local","high","","","","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.attendance.form-control.input.3","app/(app)/attendance/page.jsx","194","route.attendance","form-control","","OtModal","onChange","form-control","classified-local","high","","","","","","","attendance | holidays | users","","Attendance | Holiday | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.audit.form-control.tim-theo-nguoi-oi-tuong","app/(app)/audit/page.jsx","37","route.audit","form-control","Tìm theo người, đối tượng…","AuditPage","onChange","form-control","classified-local","high","","","","","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.huy","app/(app)/automation/page.jsx","33","route.automation","action","Hủy","RuleModal","onClick","delegated-action","delegated","high","","onClose","route:/automation","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.luu","app/(app)/automation/page.jsx","34","route.automation","action","Lưu","RuleModal","onClick","data-action","delegated-resolved","medium","save","onClose | onSave","route:/automation","","POST /api/data/rules | PUT /api/data/rules/[id]","create:rules | update:rules","rules | users","Approval | AuditLog | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Team | Transaction | User | VendorBill | Webhook","Rule | User","registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","false","async-button-guard","hook-refresh","hook-error-toast","not-required","","","",""
"route.automation.form-control.vd-bao-tin-khi-thang-deal","app/(app)/automation/page.jsx","37","route.automation","form-control","VD: Báo tin khi thắng deal","RuleModal","onChange","form-control","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.select","app/(app)/automation/page.jsx","40","route.automation","form-control","","RuleModal","onChange","form-control","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.select.2","app/(app)/automation/page.jsx","43","route.automation","form-control","","RuleModal","onChange","form-control","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.truong","app/(app)/automation/page.jsx","51","route.automation","form-control","trường","RuleModal","onChange","form-control","classified-local","high","set | setCond","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.select.3","app/(app)/automation/page.jsx","52","route.automation","form-control","","RuleModal","onChange","form-control","classified-local","high","set | setCond","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.input","app/(app)/automation/page.jsx","53","route.automation","form-control","","RuleModal","onChange","form-control","classified-local","high","set | setCond","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.set-conditions-f-conditions-filter-j-j-i","app/(app)/automation/page.jsx","54","route.automation","action","","RuleModal","onClick","local-state","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.them-ieu-kien","app/(app)/automation/page.jsx","57","route.automation","action","Thêm điều kiện","RuleModal","onClick","local-state","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.select.4","app/(app)/automation/page.jsx","66","route.automation","form-control","","RuleModal","onChange","form-control","classified-local","high","set | setAct","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.set-actions-f-actions-filter-j-j-i","app/(app)/automation/page.jsx","69","route.automation","action","","RuleModal","onClick","local-state","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.noi-dung-tin-nhan-vd-deal-name-tri-gia-value-vua-thang","app/(app)/automation/page.jsx","71","route.automation","form-control","Nội dung tin nhắn — VD: Deal {name} trị giá {value}đ vừa thắng! 🎉","RuleModal","onChange","form-control","classified-local","high","set | setAct","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
