"elementId","ownerComponent","callback","source","line","surface","apiCalls","resourceOperations","routeTargets","helperCalls","localState"
"route.shipments.action.ong","ShipmentDetail","onClose","app/(app)/shipments/page.jsx","195","route:/shipments","","","","","setDetail"
"route.shipments.form-control.input","ShipmentDetail","onToggle","app/(app)/shipments/page.jsx","195","route:/shipments","PUT /api/data/shipmentdocs/[id]","update:shipmentdocs","","",""
"route.shipments.action.ong.2","ShipmentDetail","onClose","app/(app)/shipments/page.jsx","195","route:/shipments","","","","","setDetail"
"route.staff.action.huy","UserModal","onClose","app/(app)/staff/page.jsx","217","route:/staff","","","","","setModal"
"route.staff.action.luu","UserModal","onSave","app/(app)/staff/page.jsx","217","route:/staff","DYNAMIC /api/users | GET /api/data/users","read:users","","","body.password | body.reset2fa | r | setModal"
"route.tasks.action.xoa","TaskDetailModal","onDelete","app/(app)/tasks/page.jsx","411","route:/tasks","","","","","setModal"
"route.tasks.action.huy","TaskDetailModal","onClose","app/(app)/tasks/page.jsx","411","route:/tasks","","","","","setModal"
"route.tasks.action.ang-luu-luu","TaskDetailModal","onClose","app/(app)/tasks/page.jsx","411","route:/tasks","","","","","setModal"
"route.tasks.action.ang-luu-luu","TaskDetailModal","onSave","app/(app)/tasks/page.jsx","411","route:/tasks","PUT /api/data/tasks/[id]","update:tasks","","",""
"route.teamwork.action.len","TaskRow","onMove","app/(app)/teamwork/page.jsx","266","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.xuong","TaskRow","onMove","app/(app)/teamwork/page.jsx","266","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.go-chan","TaskRow","onUnblock","app/(app)/teamwork/page.jsx","266","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.ieu-phoi","TaskRow","onSelect","app/(app)/teamwork/page.jsx","266","route:/teamwork","","","","",""
"route.teamwork.action.ong-bang-ieu-phoi","ActionPanel","onClose","app/(app)/teamwork/page.jsx","256","route:/teamwork","","","","","setSelected"
"route.teamwork.action.giao-viec","ActionPanel","onAction","app/(app)/teamwork/page.jsx","256","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.anh-dau-bi-chan","ActionPanel","onAction","app/(app)/teamwork/page.jsx","256","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.escalate","ActionPanel","onAction","app/(app)/teamwork/page.jsx","256","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.tach-task","ActionPanel","onAction","app/(app)/teamwork/page.jsx","256","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.hop-nhat-task","ActionPanel","onAction","app/(app)/teamwork/page.jsx","256","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.teamwork.action.luu-hieu-chinh-co-receipt","ActionPanel","onAction","app/(app)/teamwork/page.jsx","256","route:/teamwork","GET /api/execution/team-work | POST /api/execution/actions","","","","setBusyId | setError | setLoading | setModel | setSelected"
"route.templates.action.huy","TemplateModal","onClose","app/(app)/templates/page.jsx","108","route:/templates","","","","","setModal"
"route.templates.action.luu-mau","TemplateModal","onClose","app/(app)/templates/page.jsx","108","route:/templates","","","","","setModal"
"route.templates.action.luu-mau","TemplateModal","onSave","app/(app)/templates/page.jsx","108","route:/templates","POST /api/data/projecttemplates | PUT /api/data/projecttemplates/[id]","create:projecttemplates | update:projecttemplates","","",""
"route.tickets.action.huy","CsatModal","onClose","app/(app)/tickets/page.jsx","156","route:/tickets","","","","","setModal"
"route.tickets.action.luu-anh-gia","CsatModal","onClose","app/(app)/tickets/page.jsx","156","route:/tickets","","","","","setModal"
"route.tickets.action.luu-anh-gia","CsatModal","onSave","app/(app)/tickets/page.jsx","156","route:/tickets","POST /api/data/csat","create:csat","","import:todayISO",""
"route.vendors.action.huy","RfqModal","onClose","app/(app)/vendors/page.jsx","210","route:/vendors","","","","","setModal"
"route.vendors.action.luu","RfqModal","onClose","app/(app)/vendors/page.jsx","210","route:/vendors","","","","","setModal"
"route.vendors.action.luu","RfqModal","onSave","app/(app)/vendors/page.jsx","210","route:/vendors","POST /api/data/rfqs | PUT /api/data/rfqs/[id]","create:rfqs | update:rfqs","","",""
"component.components-activities.action.ong","ActivitiesModal","onClose","app/(app)/clients/page.jsx","82","route:/clients","","","","","setModal"
"component.components-activities.action.ong","ActivitiesModal","onClose","app/(app)/leads/page.jsx","260","route:/leads","GET /api/leads/workload","","","","setModal | setWorkloadError | setWorkloadLoading | setWorkloadPayload"
"component.components-doceditor.action.huy","DocEditor","onClose","app/(app)/invoices/page.jsx","209","route:/invoices","","","","","setModal"
"component.components-doceditor.action.huy","DocEditor","onClose","app/(app)/invoices/page.jsx","211","route:/invoices","","","","","setModal"
"component.components-doceditor.action.huy","DocEditor","onClose","app/(app)/quotes/page.jsx","96","route:/quotes","","","","","setModal"
"component.components-doceditor.action.huy","DocEditor","onClose","app/(app)/quotes/page.jsx","98","route:/quotes","","","","","setModal"
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onClose","app/(app)/invoices/page.jsx","209","route:/invoices","","","","","setModal"
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onSave","app/(app)/invoices/page.jsx","209","route:/invoices","POST /api/data/invoices","create:invoices","","",""
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onClose","app/(app)/invoices/page.jsx","211","route:/invoices","","","","","setModal"
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onSave","app/(app)/invoices/page.jsx","211","route:/invoices","PUT /api/data/invoices/[id]","update:invoices","","",""
