elementId,source,line,label,actionType,loadingState,successState,errorState,confirmationState,status
route.invoices.action.ghi-nhan,app/(app)/invoices/page.jsx,27,Ghi nhận,data-action,local-state,toast-or-state,handled-candidate,not-required,verified
route.invoices.action.ang-tao-tao-hoa-on-nhap,app/(app)/invoices/page.jsx,78,Đang tạo… / Tạo hóa đơn nháp,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.invoices.action.sinh-hoa-on-ky-toi-thang-sau,app/(app)/invoices/page.jsx,195,Sinh hóa đơn kỳ tới (tháng sau),data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.leads.action.chuyen-thanh-khach-hang,app/(app)/leads/page.jsx,258,Chuyển thành khách hàng,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.messages.action.bat-au,app/(app)/messages/page.jsx,32,Bắt đầu,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.messages.action.ngung-chia-se-voi-ceo-portal-chia-se-voi-ceo-portal,app/(app)/messages/page.jsx,165,Ngừng chia sẻ với CEO Portal / Chia sẻ với CEO Portal,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.messages.form-submit.ang-gui-gui,app/(app)/messages/page.jsx,229,Đang gửi… / Gửi,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.messages.action.ang-gui-gui,app/(app)/messages/page.jsx,231,Đang gửi… / Gửi,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.myday.action.ang-cap-nhat,app/(app)/myday/page.jsx,88,Đang cập nhật…,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.myday.form-submit.so-gio-uoc-luong-nhom-cong-viec-o-phuc-tap-ghi-chu-pham-vi-khong,app/(app)/myday/page.jsx,111,Số giờ ước lượng / Nhóm công việc / Độ phức tạp / Ghi chú phạm vi (không bắt buộc) / Hủy / Đang lưu… / Lưu estimate có receipt,data-action,local-state,toast-or-state,handled-candidate,not-required,verified
route.myday.action.ang-luu-luu-estimate-co-receipt,app/(app)/myday/page.jsx,119,Đang lưu… / Lưu estimate có receipt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.payroll.action.tinh-lai-tu-cham-cong,app/(app)/payroll/page.jsx,86,Tính lại từ chấm công,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.payroll.action.tao-bang-luong-thang,app/(app)/payroll/page.jsx,89,Tạo bảng lương tháng,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.resources.action.gan,app/(app)/resources/page.jsx,174,Gán,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.reviews.action.gui-tu-anh-gia,app/(app)/reviews/page.jsx,40,Gửi tự đánh giá,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.reviews.action.chot-anh-gia,app/(app)/reviews/page.jsx,44,Chốt đánh giá,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.reviews.action.mo-ot-anh-gia-q,app/(app)/reviews/page.jsx,110,Mở đợt đánh giá / {q},data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.settings.action.khoa-mo,app/(app)/settings/page.jsx,72,Khóa / Mở,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
